GioiTinh,KhuVucSinhSong,HocVanChaMe,HoanCanhGiaDinh,HocLucNamTruoc,TiLeChuyenCan,GioTuHocMoiTuan,ThamGiaHocThem,OnThiTruoc,ThoiGianMangXaHoi,KetQua
Nam,Thành thị,Tốt nghiệp THPT,Khá giả,Khá,66.9,9.1,Có,Đã ôn thi,4.6,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Giỏi,85.5,10.9,Không,Không ôn thi,2.9,Đỗ
Nữ,Nông thôn,Cao đẳng,Trung bình,Giỏi,100.0,9.1,Không,Đã ôn thi,2.8,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Trung bình,76.8,15.8,Không,Không ôn thi,3.8,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Giỏi,63.3,5.9,Không,Không ôn thi,2.0,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Khá,95.1,9.9,Có,Đã ôn thi,4.9,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,78.8,8.6,Không,Không ôn thi,3.7,Trượt
Nữ,Nông thôn,Cao đẳng,Trung bình,Trung bình,88.4,4.1,Không,Đã ôn thi,2.4,Đỗ
Nam,Nông thôn,Đại học,Khá giả,Giỏi,77.0,3.9,Có,Đã ôn thi,3.4,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,78.8,6.1,Không,Đã ôn thi,1.1,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,80.6,1.4,Có,Đã ôn thi,3.2,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Giỏi,86.6,5.7,Có,Đã ôn thi,3.1,Đỗ
Nam,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Khá,81.5,7.6,Không,Không ôn thi,2.2,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khó khăn,Khá,95.9,6.1,Có,Đã ôn thi,0.4,Đỗ
Nam,Nông thôn,Cao đẳng,Trung bình,Trung bình,86.5,5.1,Có,Không ôn thi,6.4,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Giỏi,84.7,4.6,Có,Đã ôn thi,2.0,Đỗ
Nữ,Thành thị,Cao đẳng,Khó khăn,Khá,100.0,14.0,Có,Đã ôn thi,0.9,Đỗ
Nữ,Thành thị,Thạc sĩ,Trung bình,Giỏi,95.5,21.3,Không,Không ôn thi,2.8,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Trung bình,65.0,15.2,Không,Đã ôn thi,4.4,Trượt
Nam,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Khá,94.7,6.3,Không,Đã ôn thi,2.0,Đỗ
Nữ,Thành thị,Cao đẳng,Trung bình,Khá,98.6,3.9,Không,Đã ôn thi,5.8,Đỗ
Nam,Nông thôn,Chưa tốt nghiệp THPT,Khó khăn,Khá,84.8,3.3,Có,Đã ôn thi,3.9,Đỗ
Nam,Nông thôn,Thạc sĩ,Trung bình,Khá,99.9,5.2,Không,Không ôn thi,5.8,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Khó khăn,Giỏi,58.3,10.5,Có,Đã ôn thi,3.1,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khá giả,Trung bình,96.2,6.6,Không,Đã ôn thi,3.5,Đỗ
Nam,Nông thôn,Đại học,Trung bình,Yếu,99.7,8.8,Không,Đã ôn thi,3.6,Trượt
Nam,Nông thôn,Đại học,Trung bình,Trung bình,100.0,9.5,Có,Đã ôn thi,2.9,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,92.2,12.8,Không,Không ôn thi,2.6,Đỗ
Nam,Thành thị,Cao đẳng,Trung bình,Trung bình,82.2,4.7,Không,Đã ôn thi,3.7,Trượt
Nữ,Nông thôn,Đại học,Trung bình,Giỏi,86.4,4.6,Không,Đã ôn thi,2.8,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khó khăn,Trung bình,93.4,8.4,Không,Đã ôn thi,2.3,Đỗ
Nam,Thành thị,Cao đẳng,Trung bình,Giỏi,91.4,3.7,Không,Đã ôn thi,9.6,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Khó khăn,Giỏi,81.9,16.6,Có,Đã ôn thi,2.4,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Khá giả,Trung bình,61.6,8.2,Không,Đã ôn thi,3.0,Trượt
Nữ,Nông thôn,Đại học,Trung bình,Giỏi,92.4,1.6,Có,Không ôn thi,2.7,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Khá,94.6,12.9,Có,Đã ôn thi,3.9,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Trung bình,93.1,15.0,Có,Đã ôn thi,1.8,Đỗ
Nữ,Nông thôn,Cao đẳng,Khá giả,Trung bình,93.0,13.5,Có,Đã ôn thi,3.0,Đỗ
Nam,Nông thôn,Đại học,Khó khăn,Khá,63.0,9.4,Không,Không ôn thi,2.8,Trượt
Nữ,Nông thôn,Cao đẳng,Khó khăn,Trung bình,85.4,10.2,Có,Không ôn thi,2.1,Đỗ
Nam,Thành thị,Đại học,Khá giả,Trung bình,64.0,0.0,Có,Đã ôn thi,2.6,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,82.1,9.6,Có,Đã ôn thi,0.0,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Khá,71.0,7.1,Không,Đã ôn thi,4.8,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Khó khăn,Trung bình,74.1,8.9,Không,Không ôn thi,0.8,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,92.8,8.9,Không,Đã ôn thi,2.2,Đỗ
Nữ,Thành thị,Cao đẳng,Khó khăn,Giỏi,72.3,1.1,Có,Không ôn thi,6.4,Trượt
Nam,Nông thôn,Đại học,Trung bình,Yếu,80.6,10.9,Không,Không ôn thi,2.3,Trượt
Nam,Nông thôn,Cao đẳng,Khó khăn,Giỏi,89.7,0.9,Có,Đã ôn thi,8.2,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khó khăn,Khá,80.9,7.2,Không,Đã ôn thi,2.9,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Khó khăn,Giỏi,100.0,1.6,Không,Đã ôn thi,5.7,Trượt
Nữ,Nông thôn,Thạc sĩ,Trung bình,Khá,95.4,8.1,Không,Đã ôn thi,3.6,Đỗ
Nữ,Nông thôn,Đại học,Khó khăn,Trung bình,94.9,10.9,Có,Không ôn thi,3.8,Đỗ
Nam,Thành thị,Đại học,Trung bình,Khá,86.6,0.0,Không,Không ôn thi,4.4,Trượt
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Khá,88.2,6.4,Có,Đã ôn thi,2.0,Đỗ
Nam,Thành thị,Đại học,Trung bình,Khá,100.0,7.4,Không,Không ôn thi,4.2,Trượt
Nam,Nông thôn,Cao đẳng,Trung bình,Trung bình,93.4,2.0,Có,Không ôn thi,4.1,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,91.3,10.5,Có,Đã ôn thi,6.3,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Khá,86.7,2.4,Có,Đã ôn thi,6.2,Trượt
Nam,Thành thị,Đại học,Trung bình,Khá,88.4,8.3,Có,Đã ôn thi,3.4,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Khá,80.3,10.4,Không,Không ôn thi,4.6,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,81.4,9.5,Có,Không ôn thi,7.1,Đỗ
Nam,Thành thị,Đại học,Khá giả,Yếu,91.0,9.4,Không,Đã ôn thi,3.4,Trượt
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Khá,84.7,12.0,Có,Đã ôn thi,5.7,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Khó khăn,Giỏi,77.8,12.9,Không,Đã ôn thi,4.1,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,74.7,14.7,Có,Không ôn thi,2.5,Trượt
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Khá,81.9,7.7,Không,Đã ôn thi,0.9,Trượt
Nữ,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Trung bình,98.4,4.5,Có,Không ôn thi,4.3,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,86.8,0.0,Có,Đã ôn thi,3.8,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,74.7,11.7,Có,Không ôn thi,1.5,Đỗ
Nữ,Nông thôn,Đại học,Khá giả,Trung bình,93.4,10.2,Có,Đã ôn thi,4.1,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,84.3,2.5,Không,Không ôn thi,4.2,Trượt
Nam,Nông thôn,Thạc sĩ,Trung bình,Yếu,84.3,3.2,Có,Không ôn thi,8.1,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,91.4,7.1,Có,Đã ôn thi,3.9,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Trung bình,99.5,8.1,Không,Đã ôn thi,1.7,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Khá giả,Giỏi,100.0,11.5,Có,Đã ôn thi,3.7,Đỗ
Nam,Thành thị,Thạc sĩ,Trung bình,Trung bình,77.5,6.6,Có,Không ôn thi,1.0,Trượt
Nam,Nông thôn,Chưa tốt nghiệp THPT,Khó khăn,Khá,82.1,9.4,Có,Đã ôn thi,4.6,Đỗ
Nữ,Thành thị,Cao đẳng,Khá giả,Trung bình,75.7,8.7,Không,Không ôn thi,6.3,Trượt
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,86.0,20.8,Có,Đã ôn thi,2.4,Đỗ
Nam,Thành thị,Thạc sĩ,Trung bình,Giỏi,77.1,17.6,Không,Đã ôn thi,5.8,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Giỏi,100.0,2.4,Có,Không ôn thi,4.9,Đỗ
Nữ,Thành thị,Đại học,Khó khăn,Trung bình,62.2,0.0,Có,Không ôn thi,1.5,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,83.4,4.6,Không,Không ôn thi,3.3,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Khá,83.0,0.0,Có,Không ôn thi,3.6,Trượt
Nam,Thành thị,Đại học,Trung bình,Yếu,87.1,12.8,Có,Đã ôn thi,3.5,Đỗ
Nam,Nông thôn,Đại học,Trung bình,Trung bình,66.5,4.6,Có,Đã ôn thi,3.3,Trượt
Nữ,Nông thôn,Đại học,Khó khăn,Trung bình,85.8,3.6,Có,Không ôn thi,5.0,Trượt
Nữ,Thành thị,Cao đẳng,Trung bình,Giỏi,84.3,10.4,Có,Không ôn thi,3.5,Đỗ
Nữ,Thành thị,Cao đẳng,Trung bình,Trung bình,81.0,12.2,Không,Đã ôn thi,6.1,Trượt
Nam,Nông thôn,Đại học,Trung bình,Trung bình,83.4,13.7,Không,Đã ôn thi,2.0,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Khá giả,Yếu,68.7,13.8,Không,Không ôn thi,1.4,Trượt
Nam,Thành thị,Cao đẳng,Khó khăn,Trung bình,83.5,4.5,Có,Đã ôn thi,3.4,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Khá giả,Khá,91.3,7.6,Có,Không ôn thi,5.7,Đỗ
Nữ,Nông thôn,Thạc sĩ,Khó khăn,Khá,95.0,0.0,Không,Đã ôn thi,3.0,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Giỏi,89.8,1.1,Có,Không ôn thi,4.5,Trượt
Nam,Thành thị,Chưa tốt nghiệp THPT,Khó khăn,Yếu,81.0,4.9,Không,Đã ôn thi,3.7,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Trung bình,100.0,5.1,Có,Đã ôn thi,4.6,Trượt
Nữ,Nông thôn,Cao đẳng,Khó khăn,Trung bình,100.0,2.7,Có,Không ôn thi,0.9,Trượt
Nữ,Thành thị,Đại học,Khó khăn,Trung bình,77.7,10.9,Không,Đã ôn thi,8.0,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,81.3,8.7,Có,Đã ôn thi,4.0,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,98.8,6.4,Có,Không ôn thi,4.4,Trượt
Nữ,Nông thôn,Thạc sĩ,Trung bình,Khá,90.3,8.8,Không,Đã ôn thi,5.5,Đỗ
Nữ,Nông thôn,Cao đẳng,Trung bình,Khá,75.4,18.3,Không,Không ôn thi,5.0,Đỗ
Nữ,Thành thị,Đại học,Khá giả,Giỏi,93.2,4.0,Có,Đã ôn thi,3.4,Đỗ
Nữ,Nông thôn,Cao đẳng,Khá giả,Trung bình,76.5,14.3,Không,Đã ôn thi,3.6,Trượt
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Giỏi,82.8,12.4,Không,Không ôn thi,4.2,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Khá,89.6,15.0,Không,Đã ôn thi,2.4,Đỗ
Nam,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Giỏi,54.4,6.8,Có,Không ôn thi,3.0,Trượt
Nam,Nông thôn,Cao đẳng,Trung bình,Trung bình,67.8,22.5,Không,Đã ôn thi,4.4,Đỗ
Nam,Thành thị,Cao đẳng,Khá giả,Trung bình,99.4,8.1,Có,Không ôn thi,2.5,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Giỏi,91.7,17.2,Không,Đã ôn thi,4.6,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Khá,75.3,11.1,Không,Không ôn thi,2.5,Trượt
Nam,Thành thị,Đại học,Trung bình,Yếu,81.0,14.3,Không,Đã ôn thi,3.9,Đỗ
Nữ,Thành thị,Cao đẳng,Trung bình,Khá,100.0,10.0,Không,Đã ôn thi,5.6,Đỗ
Nam,Nông thôn,Thạc sĩ,Trung bình,Trung bình,100.0,3.2,Có,Không ôn thi,3.7,Đỗ
Nữ,Thành thị,Cao đẳng,Trung bình,Khá,77.4,13.8,Không,Không ôn thi,3.0,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Trung bình,71.6,17.6,Không,Đã ôn thi,3.1,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,84.0,9.5,Có,Đã ôn thi,1.3,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Khá giả,Trung bình,87.0,12.6,Có,Đã ôn thi,2.0,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Giỏi,63.5,6.2,Không,Đã ôn thi,3.3,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Khá,84.0,9.4,Có,Đã ôn thi,0.7,Đỗ
Nam,Nông thôn,Cao đẳng,Trung bình,Giỏi,97.8,15.4,Có,Đã ôn thi,3.2,Đỗ
Nam,Nông thôn,Đại học,Khó khăn,Khá,86.6,8.1,Có,Đã ôn thi,3.7,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,82.8,11.9,Không,Đã ôn thi,2.6,Đỗ
Nam,Nông thôn,Đại học,Khá giả,Trung bình,86.1,4.3,Có,Đã ôn thi,5.6,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Giỏi,83.2,16.3,Không,Không ôn thi,2.2,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khá giả,Yếu,85.7,13.1,Có,Đã ôn thi,3.9,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Giỏi,98.4,0.0,Không,Không ôn thi,2.3,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,81.7,13.5,Không,Đã ôn thi,2.8,Đỗ
Nữ,Nông thôn,Đại học,Khá giả,Trung bình,88.9,11.0,Không,Không ôn thi,1.0,Đỗ
Nam,Thành thị,Thạc sĩ,Trung bình,Giỏi,70.2,0.0,Có,Đã ôn thi,6.5,Trượt
Nam,Nông thôn,Cao đẳng,Khó khăn,Trung bình,82.9,23.1,Không,Đã ôn thi,4.2,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Giỏi,80.7,10.6,Có,Đã ôn thi,3.8,Đỗ
Nam,Nông thôn,Thạc sĩ,Khá giả,Giỏi,78.1,7.2,Có,Đã ôn thi,0.0,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Trung bình,95.0,16.5,Không,Không ôn thi,2.7,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khá giả,Trung bình,100.0,15.6,Có,Không ôn thi,4.4,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Khó khăn,Khá,99.0,6.6,Không,Đã ôn thi,4.1,Đỗ
Nam,Thành thị,Cao đẳng,Khó khăn,Yếu,91.1,8.8,Không,Không ôn thi,1.8,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,94.8,5.3,Có,Đã ôn thi,3.1,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khó khăn,Khá,77.8,16.3,Có,Không ôn thi,3.9,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Khá giả,Khá,97.0,10.6,Có,Không ôn thi,3.7,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,75.2,5.5,Không,Đã ôn thi,7.4,Trượt
Nữ,Thành thị,Tốt nghiệp THPT,Khó khăn,Giỏi,91.1,12.0,Không,Đã ôn thi,5.1,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,77.4,9.8,Có,Đã ôn thi,1.8,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Trung bình,78.7,15.7,Không,Đã ôn thi,3.0,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Trung bình,78.0,0.0,Không,Đã ôn thi,3.9,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Khó khăn,Trung bình,100.0,11.8,Có,Đã ôn thi,5.2,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Yếu,96.6,0.0,Không,Đã ôn thi,1.4,Trượt
Nữ,Nông thôn,Cao đẳng,Trung bình,Giỏi,85.4,5.6,Có,Đã ôn thi,2.1,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Giỏi,88.5,0.4,Có,Đã ôn thi,6.4,Đỗ
Nam,Thành thị,Đại học,Khó khăn,Trung bình,77.0,14.7,Không,Không ôn thi,4.3,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,96.5,5.0,Không,Không ôn thi,5.5,Trượt
Nam,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Trung bình,100.0,11.4,Có,Đã ôn thi,1.6,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Khá,71.2,6.9,Có,Không ôn thi,3.0,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Trung bình,98.3,7.6,Có,Đã ôn thi,4.9,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,80.5,5.8,Không,Đã ôn thi,4.0,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Trung bình,59.5,0.0,Không,Đã ôn thi,2.9,Trượt
Nam,Thành thị,Đại học,Khó khăn,Khá,54.6,15.8,Không,Không ôn thi,4.4,Đỗ
Nữ,Thành thị,Tốt nghiệp THPT,Khó khăn,Trung bình,84.4,9.7,Không,Không ôn thi,2.9,Trượt
Nữ,Nông thôn,Đại học,Khó khăn,Trung bình,86.9,0.0,Không,Đã ôn thi,2.0,Trượt
Nam,Thành thị,Chưa tốt nghiệp THPT,Khó khăn,Trung bình,75.1,3.2,Có,Không ôn thi,1.8,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Khá giả,Yếu,82.8,3.9,Có,Đã ôn thi,2.4,Trượt
Nam,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Khá,92.1,13.7,Có,Không ôn thi,4.6,Đỗ
Nữ,Thành thị,Đại học,Khó khăn,Trung bình,64.0,9.2,Có,Đã ôn thi,3.9,Trượt
Nữ,Thành thị,Cao đẳng,Trung bình,Khá,81.9,11.9,Có,Đã ôn thi,2.2,Đỗ
Nam,Thành thị,Cao đẳng,Khá giả,Yếu,80.9,3.3,Không,Không ôn thi,4.0,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Khó khăn,Trung bình,69.2,15.9,Có,Không ôn thi,2.5,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,86.7,7.6,Không,Không ôn thi,2.9,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,85.0,9.5,Không,Không ôn thi,3.7,Đỗ
Nam,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Giỏi,90.2,6.7,Không,Đã ôn thi,2.8,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,85.7,5.6,Không,Đã ôn thi,4.8,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,62.5,4.4,Có,Đã ôn thi,3.6,Trượt
Nữ,Thành thị,Đại học,Trung bình,Khá,98.1,3.9,Không,Không ôn thi,5.6,Đỗ
Nữ,Thành thị,Đại học,Khó khăn,Khá,100.0,2.3,Có,Không ôn thi,3.6,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Trung bình,78.6,4.3,Có,Không ôn thi,3.2,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Khá giả,Giỏi,58.4,6.3,Có,Không ôn thi,4.9,Trượt
Nam,Thành thị,Đại học,Khá giả,Khá,83.0,14.7,Không,Đã ôn thi,3.6,Đỗ
Nam,Thành thị,Cao đẳng,Trung bình,Khá,83.0,5.2,Không,Đã ôn thi,5.6,Đỗ
Nữ,Thành thị,Thạc sĩ,Trung bình,Khá,93.6,9.8,Không,Đã ôn thi,0.9,Đỗ
Nữ,Thành thị,Đại học,Khó khăn,Trung bình,86.2,4.0,Có,Đã ôn thi,4.1,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,78.9,25.9,Có,Không ôn thi,1.6,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Giỏi,76.0,6.6,Không,Đã ôn thi,2.5,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Trung bình,100.0,5.7,Không,Đã ôn thi,4.5,Trượt
Nữ,Thành thị,Đại học,Trung bình,Khá,77.1,4.6,Không,Đã ôn thi,5.8,Trượt
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Khá,58.5,8.7,Không,Không ôn thi,2.0,Trượt
Nữ,Nông thôn,Đại học,Trung bình,Trung bình,83.7,17.9,Có,Đã ôn thi,4.5,Đỗ
Nam,Thành thị,Thạc sĩ,Trung bình,Trung bình,74.1,5.4,Có,Không ôn thi,0.0,Trượt
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Trung bình,70.0,17.7,Không,Đã ôn thi,5.4,Đỗ
Nữ,Nông thôn,Đại học,Khá giả,Giỏi,100.0,7.6,Có,Đã ôn thi,2.8,Đỗ
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Trung bình,94.4,0.0,Có,Đã ôn thi,3.7,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Khá giả,Khá,97.1,16.0,Có,Không ôn thi,4.2,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Khá,99.2,6.7,Có,Không ôn thi,3.4,Đỗ
Nữ,Nông thôn,Thạc sĩ,Khá giả,Giỏi,85.0,9.1,Không,Đã ôn thi,3.0,Đỗ
Nữ,Thành thị,Cao đẳng,Khá giả,Trung bình,96.6,12.4,Không,Không ôn thi,1.6,Đỗ
Nam,Thành thị,Cao đẳng,Trung bình,Khá,75.7,8.7,Không,Đã ôn thi,3.3,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Yếu,77.6,2.1,Không,Không ôn thi,4.1,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Khá,70.4,19.6,Không,Đã ôn thi,3.5,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,68.2,5.0,Không,Đã ôn thi,4.4,Trượt
Nữ,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Giỏi,98.5,12.4,Có,Không ôn thi,5.5,Đỗ
Nữ,Nông thôn,Đại học,Khó khăn,Khá,81.1,10.0,Có,Đã ôn thi,1.0,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,100.0,15.7,Không,Không ôn thi,3.4,Trượt
Nữ,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,78.8,7.8,Có,Đã ôn thi,5.5,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Khá,83.9,7.5,Có,Đã ôn thi,6.1,Trượt
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Giỏi,83.6,6.8,Không,Không ôn thi,2.2,Đỗ
Nam,Nông thôn,Cao đẳng,Trung bình,Khá,70.5,7.9,Không,Không ôn thi,6.3,Trượt
Nam,Thành thị,Đại học,Khá giả,Trung bình,60.0,9.8,Không,Không ôn thi,6.4,Trượt
Nam,Thành thị,Đại học,Khá giả,Trung bình,78.9,14.3,Không,Không ôn thi,4.9,Trượt
Nữ,Nông thôn,Chưa tốt nghiệp THPT,Khá giả,Khá,100.0,13.2,Có,Đã ôn thi,0.0,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Khá,100.0,4.7,Có,Đã ôn thi,2.5,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khó khăn,Khá,96.7,4.0,Không,Đã ôn thi,2.5,Đỗ
Nam,Nông thôn,Cao đẳng,Trung bình,Giỏi,75.3,0.0,Có,Không ôn thi,2.2,Đỗ
Nam,Thành thị,Đại học,Trung bình,Giỏi,81.2,6.8,Không,Không ôn thi,5.5,Đỗ
Nữ,Nông thôn,Thạc sĩ,Trung bình,Giỏi,65.6,11.3,Có,Đã ôn thi,2.5,Đỗ
Nam,Nông thôn,Chưa tốt nghiệp THPT,Trung bình,Trung bình,100.0,10.3,Có,Đã ôn thi,3.5,Đỗ
Nam,Thành thị,Đại học,Khó khăn,Trung bình,77.4,22.6,Không,Không ôn thi,2.9,Đỗ
Nam,Thành thị,Cao đẳng,Trung bình,Khá,85.6,4.3,Có,Đã ôn thi,4.3,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khá giả,Trung bình,58.7,9.0,Có,Đã ôn thi,2.6,Trượt
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,70.7,9.4,Không,Đã ôn thi,1.5,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Trung bình,69.8,17.2,Không,Đã ôn thi,3.3,Đỗ
Nữ,Thành thị,Đại học,Trung bình,Khá,90.8,7.2,Có,Đã ôn thi,3.7,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Giỏi,80.8,4.3,Có,Không ôn thi,1.0,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Khá giả,Giỏi,99.4,6.6,Không,Đã ôn thi,2.9,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Khá giả,Trung bình,81.1,8.7,Có,Đã ôn thi,3.1,Trượt
